,neg_mean,pos_mean,diff,ratio_pos_over_neg
n_pubmed,19.0993031358885,112.01315789473684,92.91385475884833,5.8647772171466706
log_n_pubmed,1.1024143583249193,1.6558668194353645,0.5534524611104452,1.5020366951237802
n_ct_completed,1.3658536585365855,1.7763157894736843,0.4104621309370988,1.3005169172932332
n_ct_total,1.602787456445993,1.986842105263158,0.384054648817165,1.239616704805492
n_competitors,2.5226480836236935,2.8289473684210527,0.30629928479735913,1.1214197441116602
term_to_total_ratio,0.02069870067903002,0.006916329284750336,-0.013782371394279683,0.3341431615443046
has_competitor,0.4181184668989547,0.39473684210526316,-0.023381624793691547,0.944078947368421
n_ct_terminated,0.23693379790940766,0.21052631578947367,-0.02640748211993399,0.8885448916408668
has_pubmed,0.3554006968641115,0.32894736842105265,-0.026453328443058866,0.9255675954592363
has_expand,0.25435540069686413,0.15789473684210525,-0.09646066385475888,0.620764239365537
n_expand_terms,2.0993031358885017,1.3026315789473684,-0.7966715569411333,0.6205066608429788
